Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Used_car_price,Brand,Model,Original_cost,Car_age
Kochi,121377,Petrol,Manual,First,15.04,1598,103.6,5,3.8,volkswagen,vento,13.81375,11
Chennai,100970,Diesel,Automatic,First,15.5,1896,105,5,4,volkswagen,jetta,11.44720833,14
Hyderabad,60000,Diesel,Automatic,Second,20.7,1496,113.98,5,23.5,mini,cooper,42.48,9
Chennai,77650,Diesel,Manual,First,17.2,1396,53.5,5,1.15,tata,indica,10.75306548,15
Hyderabad,71297,Petrol,Manual,First,17,1086,91.94537954,5,2.2,hyundai,santro,11.28145047,16
Mumbai,55001,Diesel,Automatic,Second,0,2509.466667,197.657,5,26.5,land,rover,104.102,15
Bangalore,18955,Petrol,Automatic,First,18,1497,117.3,5,10.65,honda,city,16.04,8
Coimbatore,47877,Diesel,Automatic,First,16.36,2179,187.7,5,35.68,jaguar,xf,72.64,7
Kochi,43368,Diesel,Automatic,First,15,2143,204,5,31.94,mercedes-benz,e-class,82.61833333,6
Ahmedabad,72007,Diesel,Manual,First,15.1,2179,140,7,9.9,mahindra,xuv500,18.865,8
Kochi,56778,Petrol,Automatic,First,11.74,1796,186,5,15.46,mercedes-benz,new,49.49,9
Kochi,20024,Petrol,Manual,First,18.2,1199,88.7,5,8.46,honda,jazz,9.1,5
Kolkata,42103,Petrol,Manual,First,16.78,1496,88.73,5,3.25,toyota,etios,7.432,10
Hyderabad,67147,Petrol,Manual,First,19.7,796,46.3,5,2.6,maruti,alto,4.53,11
Coimbatore,37806,Petrol,Manual,First,20.4,1197,81.8,5,5.2,maruti,swift,7.56375,7
Pune,85000,Petrol,Manual,Third,19,998,66.1,5,1.8,maruti,a-star,7.55626867,14
Chennai,35000,Petrol,Manual,First,25.4,624,37.48,4,1.6,tata,nano,10.75306548,12
Kolkata,72035,Diesel,Manual,First,25.5,1498,99,5,2.5,ford,figo,7.65,8
Jaipur,48500,Petrol,Manual,First,16,1368,90,5,2.5,fiat,linea,9.5,12
Coimbatore,28854,Petrol,Manual,First,18.16,1196,86.8,5,6.7,ford,figo,7.65,6
Hyderabad,92450,Petrol,Manual,First,15.4,1590,94,5,1.2,maruti,baleno,8.886666667,18
Coimbatore,14351,Diesel,Automatic,First,18.88,1995,184,5,35.55,bmw,3,52.113125,7
Chennai,50000,Diesel,Manual,First,12.7,2609,116.6,8,1.94,mahindra,scorpio,15.5675283,18
Hyderabad,73000,Diesel,Manual,First,25,1396,69,5,2.2,tata,indica,10.75306548,7
Chennai,50000,Diesel,Manual,First,12.8,2494,102,8,15.65,toyota,innova,23.61366667,7
Coimbatore,36797,Diesel,Automatic,First,19.27,2143,167.62,5,39.47,mercedes-benz,new,49.49,5
Kolkata,50000,Petrol,Manual,Second,18.5,1197,85.8,5,1.5,maruti,ritz,7.55626867,12
Ahmedabad,94000,Diesel,Manual,First,12.8,2494,102,8,8.85,toyota,innova,23.61366667,10
Bangalore,74000,Diesel,Manual,Second,12.55,2982,168.5,7,17.9,toyota,fortuner,36.548,10
Coimbatore,41016,Petrol,Automatic,Second,16.95,1197,78.9,5,5.08,hyundai,i10,11.28145047,9
Bangalore,67000,Diesel,Manual,First,22.32,1582,126.32,5,6.25,hyundai,verna,14.254,11
Bangalore,76927,Diesel,Automatic,First,15.73,1968,174.33,5,22.75,audi,q3,46.42,8
Pune,112808,Diesel,Manual,Second,17.8,1399,68,5,2.05,ford,fiesta,13.57205029,16
Coimbatore,74980,Diesel,Manual,First,20,1399,68,5,4.08,ford,figo,7.65,9
Hyderabad,44600,Petrol,Automatic,First,23.1,998,67.04,5,4.55,maruti,celerio,5.891666667,9
Mumbai,37000,Diesel,Automatic,First,20,2143,107.3,5,14,mercedes-benz,a,34.63,10
Ahmedabad,21000,Petrol,Manual,First,15.8,1591,121.3,5,10.9,hyundai,creta,13.74,7
Bangalore,81245,Petrol,Manual,First,18.9,998,67.1,5,2.45,maruti,wagon,5.39,13
Delhi,70000,Diesel,Automatic,First,10,2148,170,5,15.8,mercedes-benz,e-class,82.61833333,10
Mumbai,4018,Petrol,Manual,First,18.88,1499,110.4,5,8.25,ford,ecosport,12.10909091,6
Delhi,70000,Diesel,Automatic,Second,13.73,1995,148,5,8.5,renault,koleos,11.74394958,10
Coimbatore,56532,Diesel,Manual,First,16,2179,140,7,15.54,mahindra,xuv500,18.865,7
Hyderabad,26875,Petrol,Manual,First,16.8,796,34.2,8,2.35,maruti,omni,7.55626867,10
Coimbatore,72599,Petrol,Manual,First,22.5,998,67.04,5,4.32,maruti,wagon,5.72,8
Jaipur,205000,Diesel,Manual,Second,13.1,2499,141,7,3.9,ford,endeavour,35.29,15
Hyderabad,98000,Diesel,Manual,Second,22.32,1582,126.32,5,5.2,hyundai,verna,14.254,12
Mumbai,19500,Petrol,Manual,First,18.6,1197,81.83,5,5.85,hyundai,i20,9.74,5
Bangalore,68000,Petrol,Manual,Second,16.02,1373,93.7,7,6.25,maruti,ertiga,11.61857143,10
Coimbatore,19654,Diesel,Automatic,First,14,2179,155,7,17.63,mahindra,xuv500,21.33,4
Bangalore,10000,Petrol,Automatic,First,18.1,3498,306,2,55,mercedes-benz,slk-class,63.09554084,8
Hyderabad,75020,Diesel,Manual,First,22.07,1199,73.9,5,4.1,volkswagen,polo,9.71375,12
Hyderabad,157000,Diesel,Manual,First,12.55,2982,168.5,7,11.99,toyota,fortuner,36.548,12
Kochi,43773,Diesel,Manual,First,16,2179,140,7,13.54,mahindra,xuv500,18.865,6
Mumbai,21000,Diesel,Automatic,First,17.9,2143,201.15,5,56,mercedes-benz,gle,78.76,7
Chennai,23280,Petrol,Manual,First,18.7,1199,88.7,5,6.5,honda,jazz,9.431666667,7
Pune,88000,Diesel,Manual,First,23.4,1248,74,5,4.75,maruti,swift,7.56375,10
Hyderabad,67000,Petrol,Manual,First,17.01,1591,121.3,5,5.6,hyundai,verna,14.254,9
Coimbatore,59636,Diesel,Automatic,First,10.91,3198,197,7,29.2,ford,endeavour,35.29,6
Kolkata,11000,Petrol,Manual,First,18.6,1197,81.83,5,6.35,hyundai,i20,9.74,5
Mumbai,60669,Petrol,Manual,First,16.8,1497,116.3,5,4.95,honda,city,14.63571429,10
Hyderabad,12000,Diesel,Manual,First,27.4,1498,98.6,5,8.5,honda,amaze,10.34,5
Kolkata,35000,Petrol,Manual,First,17.1,1591,121.3,5,4.5,hyundai,verna,14.254,10
Chennai,65000,Diesel,Manual,First,24.2,1498,98.6,7,5.5,honda,mobilio,11.79582001,8
Kochi,39929,Diesel,Manual,First,20.77,1248,88.8,7,6.56,maruti,ertiga,11.61857143,10
Pune,49000,Petrol,Manual,First,24.07,998,67.1,5,2.3,maruti,alto,4.29,9
Pune,77757,Diesel,Manual,Second,13.1,2446,75,10,3.5,toyota,qualis,24.25263701,19
Kochi,21456,Petrol,Manual,First,20.36,1197,78.9,5,4.55,hyundai,i10,11.28145047,7
Bangalore,74000,Diesel,Automatic,Second,17,1896,105,5,7.75,skoda,laura,25.2041791,14
Mumbai,37000,Petrol,Manual,Second,18.6,1197,81.83,5,5.25,hyundai,i20,9.74,8
Coimbatore,108640,Diesel,Automatic,First,11.5,2993,235,5,23.29,bmw,5,67.24571429,10
Mumbai,38000,Diesel,Automatic,First,22.69,1995,190,5,23.99,bmw,3,52.113125,7
Mumbai,47000,Diesel,Automatic,Second,14.21,2143,203,5,13.9,mercedes-benz,e-class,82.61833333,12
Kolkata,31000,Diesel,Automatic,First,17.68,1968,174.33,5,18.95,audi,a6,62.35666667,10
Kolkata,40000,Petrol,Manual,First,20.51,998,67.04,5,2.49,maruti,wagon,5.39,9
Jaipur,4152,Petrol,Manual,First,25.17,799,53.3,5,3.15,renault,kwid,4.834285714,7
Mumbai,51000,Diesel,Manual,First,21.66,1498,108.62,5,6.45,volkswagen,ameo,10.04,6
Ahmedabad,55000,Diesel,Manual,First,22.07,1199,73.9,5,4.25,volkswagen,polo,9.71375,10
Hyderabad,58500,Petrol,Manual,First,22.74,796,47.3,5,2.75,maruti,alto,4.53,9
Kochi,58620,Petrol,Manual,First,18.6,1197,81.83,5,7.14,hyundai,i20,9.74,6
Mumbai,29605,Petrol,Manual,First,18.3,1197,130.0291489,5,2.44,toyota,etios,7.432,11
Jaipur,71172,Petrol,Manual,Third,17,1197,80,5,3.5,hyundai,i20,9.74,11
Chennai,12000,Diesel,Manual,First,22.54,1396,88.73,5,7.3,hyundai,i20,9.74,6
Kolkata,25000,Petrol,Manual,First,20.51,998,67.04,5,2.75,maruti,wagon,5.39,9
Bangalore,43000,Diesel,Manual,Second,22.54,1396,88.73,5,8.2,hyundai,i20,9.74,6
Mumbai,57022,Petrol,Automatic,First,17.21,1197,103.6,5,6.51,volkswagen,polo,9.71375,8
Pune,92000,Diesel,Manual,First,20,1399,68.05,5,4.25,ford,figo,7.65,8
Coimbatore,33372,Petrol,Manual,Second,18.6,1197,85.8,5,6.21,maruti,swift,7.56375,9
Kochi,52625,Diesel,Manual,First,24,1120,70,5,4.58,hyundai,grand,7.2952,7
Chennai,215000,Diesel,Manual,First,14.02,2179,118.3,7,7.5,mahindra,xylo,11.67,7
Delhi,65537,CNG,Manual,First,26.83,796,38.4,5,2.1,maruti,alto,4.53,11
Coimbatore,60138,Petrol,Manual,First,19.81,1086,68.05,5,4.09,hyundai,i10,11.28145047,9
Mumbai,84000,Diesel,Automatic,First,19.3,1968,141,5,10.75,skoda,octavia,28.37,9
Mumbai,47000,Diesel,Automatic,First,15.97,2993,258,7,41.5,bmw,x5,63.44220807,9
Hyderabad,33450,Petrol,Automatic,First,23.1,998,67.04,5,4.4,maruti,celerio,5.891666667,9
Jaipur,125000,Diesel,Manual,Second,20.54,1598,103.6,5,6.25,volkswagen,vento,13.81375,10
Pune,99606,Diesel,Automatic,Second,16.07,1995,181,5,10.5,bmw,3,52.113125,12
Mumbai,64000,Diesel,Manual,First,20.77,1248,88.8,7,7.25,maruti,ertiga,11.61857143,9
Hyderabad,51000,Diesel,Manual,First,20,1399,68.05,5,3.2,ford,figo,7.65,10
Mumbai,57000,Petrol,Manual,First,16.47,1198,74,5,3.95,volkswagen,polo,9.71375,9
Coimbatore,48040,Diesel,Automatic,Second,16.77,2967,241.38,5,12.07,audi,a6,62.35666667,14
Pune,43200,Diesel,Manual,First,13.68,2393,147.8,7,18.6,toyota,innova,25.52,6
Delhi,66000,Diesel,Automatic,First,22.32,1582,126.3,5,5.7,hyundai,verna,14.254,10
Kolkata,31000,Petrol,Manual,First,17.92,1086,62.1,5,1.75,hyundai,santro,11.28145047,10
Delhi,46000,Diesel,Automatic,Second,16.55,1968,147.51,5,10.99,audi,a4,51.385,12
Kolkata,47346,Diesel,Automatic,First,16.55,1968,147.51,5,14.5,audi,a4,51.385,11
Jaipur,100000,Diesel,Manual,First,17,1896,105,5,3.11,skoda,laura,25.2041791,14
Coimbatore,72996,Diesel,Manual,First,22.32,1582,126.32,5,7.11,hyundai,verna,14.254,8
Chennai,23000,Diesel,Manual,First,24.5,1498,98.6,7,6.9,honda,mobilio,11.79582001,9
Coimbatore,15985,Petrol,Manual,First,18.6,1197,81.83,5,7.77,hyundai,i20,9.74,5
Kolkata,98000,Diesel,Manual,Second,12.8,2494,102,8,5.5,toyota,innova,23.61366667,12
Hyderabad,70089,Petrol,Manual,First,18.6,1197,81.83,5,5.35,hyundai,i20,9.74,9
Chennai,99000,Diesel,Manual,Second,13.6,2523,63,7,4.5,mahindra,bolero,10.982,12
Jaipur,72000,Diesel,Manual,First,20.34,1498,103.2,5,4.75,volkswagen,vento,13.81375,9
Coimbatore,44194,Diesel,Automatic,First,16.36,2179,187.7,5,32.8,jaguar,xf,72.64,8
Mumbai,102000,Petrol,Manual,First,17.3,993,60,5,0.7,maruti,zen,7.55626867,18
Coimbatore,56652,Diesel,Automatic,First,13,2987,258,5,50.29,mercedes-benz,e-class,82.61833333,5
Mumbai,41650,Diesel,Manual,Second,11.5,2982,171,7,10.99,toyota,fortuner,36.548,13
Coimbatore,61717,Petrol,Automatic,First,18.9,1197,82,5,5.57,hyundai,grand,7.2952,8
Jaipur,25302,Diesel,Manual,First,25.4,1186,73.97,5,5.9,hyundai,xcent,8.56,5
Coimbatore,47016,Petrol,Manual,First,15.29,1591,121.3,5,9.43,hyundai,creta,15.19333333,7
Bangalore,69000,Petrol,Manual,First,20.36,1197,78.9,5,2.9,hyundai,i10,11.28145047,13
Delhi,32700,Petrol,Manual,First,19.4,1198,86.8,5,3.68,honda,brio,6.8825,7
Coimbatore,101337,Diesel,Automatic,First,12.55,2982,168.5,7,21.67,toyota,fortuner,36.548,8
Ahmedabad,59000,Diesel,Automatic,First,16.55,1968,140,5,12.5,audi,a4,51.385,12
Kochi,41736,Diesel,Automatic,First,11.36,2755,171.5,7,19.92,toyota,innova,27,5
Jaipur,71649,Diesel,Manual,First,25.1,1498,98.6,5,6.75,honda,city,14.63571429,9
Kochi,80606,Diesel,Manual,First,25.1,1498,98.6,5,6.96,honda,city,14.63571429,8
Jaipur,63262,Petrol,Manual,First,21.7,999,67,5,3.25,renault,kwid,4.78,6
Pune,7500,Petrol,Automatic,First,23.1,998,67.04,5,5,maruti,celerio,6.14,6
Delhi,66000,Diesel,Manual,First,15.1,2179,140,7,5.5,mahindra,xuv500,18.865,12
Jaipur,66770,Petrol,Manual,Second,20.36,1197,78.9,5,2.6,hyundai,i10,11.28145047,13
Kochi,58472,Petrol,Manual,First,19.81,1086,68.05,5,3.41,hyundai,i10,11.28145047,9
Kolkata,46687,Petrol,Manual,First,22,1197,81.8,5,2.7,maruti,dzire,7.3,12
Chennai,77000,Petrol,Automatic,Fourth & Above,9.7,1995,163.5,5,5.5,maruti,grand,7.55626867,15
Kolkata,7000,Petrol,Automatic,First,14.33,1984,226.6,4,35,audi,tt,63.78077684,11
Mumbai,48000,Petrol,Automatic,Second,14.74,1991,184,5,9.75,mercedes-benz,new,49.49,12
Mumbai,47000,Diesel,Manual,First,21.64,1461,84.8,5,4.25,nissan,sunny,11.33,10
Ahmedabad,51530,Petrol,Manual,First,18.9,998,67.1,5,3.2,maruti,wagon,5.39,8
Bangalore,25789,Diesel,Manual,Second,23.4,1248,74,5,6.85,maruti,swift,7.56375,9
Delhi,48000,Diesel,Manual,First,25.8,1498,98.6,5,4.5,honda,amaze,8.662857143,8
Delhi,52000,Diesel,Manual,First,28.4,1248,74,5,3.55,maruti,swift,7.56375,11
Hyderabad,95637,CNG,Manual,Second,13.2,1495,93.7,5,1.9,hyundai,accent,11.28145047,13
Hyderabad,131000,Diesel,Manual,First,10.5,2609,120,7,3.6,mahindra,scorpio,15.5675283,15
Kochi,42076,Diesel,Automatic,First,13,2143,201.1,5,21.8,mercedes-benz,e-class,82.61833333,8
Mumbai,76000,Diesel,Manual,Second,13,2982,168.5,7,13.5,toyota,fortuner,36.548,11
Bangalore,20487,Petrol,Manual,First,22.7,799,53.64,5,2.66,datsun,redi-go,4.37,7
Delhi,43000,Petrol,Manual,Second,16.8,1497,116.3,5,3.75,honda,city,14.63571429,13
Coimbatore,60805,Diesel,Manual,First,26,1498,98.6,5,8.07,honda,city,14.63571429,7
Kochi,58775,Diesel,Manual,First,19.33,1968,138.1,5,5.64,volkswagen,jetta,11.44720833,11
Hyderabad,70181,Diesel,Automatic,First,17.68,1968,174.33,5,23.99,audi,a6,62.35666667,10
Coimbatore,85827,Diesel,Manual,First,20.77,1248,88.76,7,7.5,maruti,ertiga,11.61857143,7
Jaipur,58205,Diesel,Automatic,First,19.27,2143,167.62,5,27,mercedes-benz,new,49.49,7
Mumbai,91000,Diesel,Manual,Second,19.3,1248,73.9,5,2.85,maruti,swift,7.56375,15
Pune,74000,Diesel,Manual,First,19.01,1461,108.45,5,6.35,renault,duster,13.87,11
Hyderabad,79324,Diesel,Manual,First,21.1,1248,73.9,5,3.3,maruti,ritz,7.55626867,13
Bangalore,38623,Petrol,Manual,First,19.1,1197,85.8,5,5,maruti,swift,7.56375,10
Coimbatore,59923,Diesel,Manual,First,22.9,1248,74,5,6.46,maruti,swift,7.56375,9
Jaipur,23360,Petrol,Manual,First,21.1,814,55.2,5,3.75,hyundai,eon,11.28145047,6
Kochi,61495,Petrol,Manual,Third,17.3,993,60,5,1.52,maruti,zen,7.55626867,20
Coimbatore,56661,Petrol,Manual,First,15.1,1196,73,7,3.61,maruti,eeco,4.98,11
Coimbatore,40318,Diesel,Automatic,First,14.16,1968,174.3,5,43.74,audi,q5,63.78077684,6
Chennai,60000,Diesel,Automatic,First,15.73,1968,174.33,5,20,audi,q3,46.42,9
Hyderabad,130000,Diesel,Manual,First,19.3,1248,73.9,5,3.65,maruti,swift,7.56375,13
Mumbai,20000,Diesel,Manual,First,14.07,1978,83.1,10,5.25,tata,sumo,10.75306548,10
Hyderabad,76000,Diesel,Automatic,First,15.97,2993,258,7,58,bmw,x5,63.44220807,7
Mumbai,30000,Petrol,Automatic,First,18,1497,117.3,5,8.65,honda,city,15.29,8
Delhi,150000,Diesel,Manual,First,25,1396,69.01,5,2.5,tata,indigo,10.75306548,8
Chennai,28000,Petrol,Automatic,First,16.93,1197,103.6,5,7.75,volkswagen,vento,13.81375,9
Bangalore,74000,Petrol,Manual,First,23.1,998,67.04,5,4.15,maruti,celerio,5.891666667,8
Delhi,75000,Diesel,Manual,First,11.5,2982,171,7,10.85,toyota,fortuner,36.548,12
Delhi,76000,Petrol,Automatic,Second,11.3,2360,170,5,5.53,mitsubishi,outlander,33.4025,13
Hyderabad,10000,Petrol,Manual,First,9,3436,343.93,2,40,porsche,cayman,136,13
Kolkata,43000,Diesel,Manual,First,19.67,1582,126.2,5,9.25,hyundai,creta,15.19333333,8
Pune,47490,Petrol,Manual,First,17.5,1198,75,5,2.29,skoda,fabia,25.2041791,12
Chennai,80000,Diesel,Manual,First,22.77,1498,98.59,5,7,ford,ecosport,12.10909091,8
Bangalore,60000,Petrol,Manual,Second,18.2,1061,64,5,1.65,maruti,zen,7.55626867,16
Ahmedabad,6006,Petrol,Manual,First,20.73,1373,91.1,5,8.25,maruti,ciaz,11.04333333,6
Kochi,71703,Petrol,Automatic,First,14.74,1991,181.03,5,9.14,mercedes-benz,new,49.49,12
Hyderabad,33000,Petrol,Manual,First,17.8,1198,86.7,5,6.5,honda,amaze,8.662857143,7
Kolkata,60000,Diesel,Manual,First,23.59,1364,130.0291489,5,2.95,toyota,etios,7.432,11
Jaipur,91000,Diesel,Manual,First,19.87,1461,83.8,5,5.75,renault,duster,13.87,8
Hyderabad,72000,LPG,Manual,First,26.2,998,58.2,5,2.85,maruti,wagon,5.39,11
Kolkata,43000,Petrol,Manual,Second,16.47,1198,73.9,5,2.1,volkswagen,polo,9.71375,12
Coimbatore,63770,Diesel,Manual,First,19.67,1582,126.2,5,13.55,hyundai,creta,15.19333333,6
Kolkata,43510,Diesel,Automatic,First,14.74,2993,270.9,5,20.5,jaguar,xf,72.64,11
Mumbai,52000,Diesel,Manual,First,16.3,1956,170,5,20,jeep,compass,24.26,6
Kochi,31427,Diesel,Automatic,First,15.68,1999,177,5,59.72,land,rover,75.12,5
Kolkata,29000,Diesel,Manual,First,27.39,1248,74,5,6.5,maruti,baleno,9.53,7
Ahmedabad,56000,Diesel,Manual,First,28.09,1248,88.5,5,7.5,maruti,ciaz,11.04333333,7
Jaipur,76000,Petrol,Manual,Second,15,1586,104.68,5,2.15,maruti,sx4,7.55626867,16
Coimbatore,53615,Diesel,Manual,First,22.7,1582,126.24,5,8.44,hyundai,elantra,22.65,8
Bangalore,132000,Diesel,Manual,First,13.5,2477,175.56,7,12.49,mitsubishi,pajero,34.6,10
Pune,14800,Petrol,Manual,First,17,1198,73.75,5,5.48,volkswagen,ameo,9.262,6
Hyderabad,35433,Petrol,Manual,First,18.5,1197,85.8,5,4.2,maruti,ritz,7.55626867,10
Hyderabad,82966,Diesel,Manual,First,16.8,1493,110,5,7.2,hyundai,verna,14.254,10
Jaipur,96000,Diesel,Manual,First,23.4,1248,74,5,4.8,maruti,swift,7.56375,9
Kochi,39528,Diesel,Manual,First,25.32,1198,77,6,5.83,mahindra,kuv,7.35,6
Coimbatore,92056,Diesel,Manual,First,13.68,2393,147.8,7,18.39,toyota,innova,26.45,5
Pune,14930,Petrol,Manual,First,21.4,1197,83.1,5,5.85,maruti,baleno,8.886666667,7
Mumbai,38000,Diesel,Manual,First,27.3,1498,98.6,5,6.21,honda,jazz,11.15,7
Delhi,71000,Petrol,Manual,First,17,1197,80,5,3.65,hyundai,i20,9.74,10
Delhi,71000,Diesel,Manual,First,23,1396,90,5,3.7,hyundai,i20,9.74,11
Pune,50000,Diesel,Automatic,First,19.27,2143,167.62,5,30,mercedes-benz,new,49.49,8
Kochi,48163,Petrol,Manual,First,19.1,1197,82,5,4.85,hyundai,xcent,8.274,7
Coimbatore,19168,Petrol,Automatic,First,18.9,1197,82,5,6.93,hyundai,grand,7.2952,6
Kolkata,26000,Petrol,Manual,First,22.74,796,47.3,5,2.6,maruti,alto,4.53,7
Mumbai,8682,Diesel,Automatic,First,0,1950,194,5,39.5,mercedes-benz,c-class,52.26,5
Mumbai,95000,Petrol,Automatic,First,13.7,1798,157.75,5,10,skoda,superb,34.36333333,11
Kolkata,34000,Diesel,Automatic,First,16.55,1968,147.51,5,9.95,audi,a4,51.385,14
Mumbai,95000,Diesel,Manual,Second,12.8,2494,102,8,9.45,toyota,innova,23.61366667,9
Coimbatore,13689,Diesel,Automatic,First,17.9,2143,136,5,28.25,mercedes-benz,cla,44.215,6
Jaipur,84000,Petrol,Manual,Second,19.81,1086,68.05,5,1.8,hyundai,i10,11.28145047,15
Kolkata,47000,Petrol,Manual,Second,17.5,1298,85.8,5,1.4,maruti,swift,7.56375,15
Ahmedabad,60001,Diesel,Automatic,First,21.66,1498,103.52,5,7.25,skoda,rapid,14.132,8
Hyderabad,96000,Diesel,Manual,First,21.1,1248,73.9,5,3.6,maruti,ritz,7.55626867,11
Jaipur,47300,Petrol,Manual,Second,14.4,1599,94,5,1.2,hyundai,accent,11.28145047,19
Coimbatore,28246,Petrol,Manual,Second,17.8,1198,86.7,5,4.94,honda,amaze,8.662857143,9
Delhi,65000,Petrol,Manual,Second,18.9,998,67.1,5,1.25,maruti,wagon,5.39,16
Chennai,68000,Diesel,Manual,Second,22.07,1199,73.9,5,4.8,volkswagen,polo,9.71375,10
Kochi,11209,Diesel,Automatic,First,12.62,2198,158,7,31.15,ford,endeavour,35.29,4
Pune,41980,Petrol,Manual,Second,17,1197,80,5,3.3,hyundai,i20,9.74,12
Kolkata,38000,Petrol,Manual,First,14.8,1799,130.2,5,2,honda,civic,11.79582001,13
Pune,51000,Petrol,Manual,First,20.51,998,67.04,5,3.1,maruti,wagon,5.39,9
Kochi,33855,Petrol,Manual,First,15,1598,103.6,5,5.09,skoda,rapid,14.132,9
Pune,146000,Petrol,Manual,Second,15.4,1590,94,5,1.05,maruti,baleno,8.886666667,17
Bangalore,47037,Diesel,Manual,Second,22.77,1498,98.59,5,7,ford,ecosport,12.10909091,8
Ahmedabad,58000,Petrol,Manual,Second,13.2,1495,94,5,2.5,hyundai,accent,11.28145047,13
Mumbai,61240,Diesel,Automatic,First,22.48,1995,190,5,17.5,bmw,5,70.43,11
Chennai,91211,Petrol,Manual,First,20.92,998,67.1,5,2.1,maruti,alto,4.53,12
Bangalore,84000,Diesel,Automatic,First,15.73,1968,174.33,5,17.75,audi,q3,46.42,10
Mumbai,64226,LPG,Manual,First,17.3,1061,57.5,5,1.45,maruti,wagon,5.39,15
Bangalore,67000,Petrol,Automatic,Second,11.3,1794,125,5,2.45,toyota,corolla,20.97,18
Pune,106976,Diesel,Automatic,First,13.5,2400,215,5,13.8,volvo,xc60,45.67,12
Kolkata,27210,Diesel,Manual,First,27.3,1498,98.6,5,5.85,honda,jazz,9.431666667,7
Delhi,26322,Diesel,Manual,First,28.09,1248,88.5,5,8.9,maruti,ciaz,11.04333333,6
Mumbai,9107,Petrol,Manual,First,20.4,1197,81.8,5,5.15,maruti,swift,7.56375,7
Kochi,63983,Diesel,Automatic,First,19.27,2143,170,5,16.56,mercedes-benz,new,49.49,8
Chennai,134000,Petrol,Manual,Second,18.9,1061,67,5,1.65,maruti,wagon,5.39,13
Pune,11000,Petrol,Automatic,First,15.5,1595,120.7,5,16,mercedes-benz,a,34.63,8
Pune,93000,Petrol,Manual,First,0,1086,62,5,1.45,hyundai,santro,11.28145047,15
Pune,37632,Petrol,Automatic,First,18.9,1197,82,5,4.5,hyundai,grand,7.2952,9
Chennai,55000,Petrol,Manual,Second,16.95,1498,97.7,5,4.3,nissan,sunny,11.33,10
Hyderabad,81448,Petrol,Manual,First,19,998,66.1,5,2.6,maruti,a-star,7.55626867,13
Hyderabad,1900,Petrol,Manual,First,25.17,799,53.3,5,4.45,renault,kwid,4.8,5
Coimbatore,54957,Petrol,Automatic,First,17.1,1591,121.4,5,5.37,hyundai,verna,14.254,11
Chennai,55000,Petrol,Manual,Second,18.9,1061,67,5,1.75,maruti,wagon,5.39,15
Kolkata,21983,Diesel,Automatic,First,18.88,1995,184,5,16.5,bmw,3,52.113125,10
Delhi,76000,Diesel,Automatic,First,18.48,1995,177,5,19,bmw,5,67.24571429,10
Jaipur,65000,Diesel,Manual,First,25,1396,69.01,5,2.8,tata,indigo,10.75306548,7
Hyderabad,26000,Diesel,Manual,First,22.54,1396,88.73,5,6.2,hyundai,i20,9.74,8
Kochi,11571,Petrol,Manual,First,16.8,796,34.2,8,3.8,maruti,omni,7.55626867,4
Hyderabad,81000,Diesel,Manual,First,25.2,1248,74,5,6.1,maruti,swift,7.56375,9
Coimbatore,23154,Diesel,Manual,First,23,1498,98.96,5,11.65,ford,ecosport,12.12,4
Mumbai,26856,Petrol,Automatic,First,16.5,1198,86.8,5,4.15,honda,brio,6.8825,9
Chennai,67489,Diesel,Manual,First,13.68,2393,147.8,7,16.5,toyota,innova,19.37,6
Bangalore,176000,Diesel,Manual,Second,10.5,2179,120,8,4.3,mahindra,scorpio,15.5675283,15
Kolkata,18000,Petrol,Manual,First,18.5,1197,80,5,2.25,hyundai,i20,9.74,13
Ahmedabad,63003,Diesel,Manual,First,22.32,1582,126.32,5,6.75,hyundai,verna,14.254,9
Chennai,80000,Diesel,Manual,First,15.1,2179,140,7,9.4,mahindra,xuv500,18.865,9
Coimbatore,56658,Diesel,Manual,First,20.64,1498,108.5,5,5.39,volkswagen,vento,12.14,9
Pune,75695,Petrol,Manual,First,13.7,1368,88.8,5,1.85,tata,manza,10.75306548,13
Kolkata,82000,Diesel,Manual,Second,22.9,1248,74,5,2.5,maruti,swift,7.56375,11
Chennai,60000,Diesel,Manual,First,22.07,1199,73.9,5,4.75,volkswagen,polo,9.71375,10
Pune,138000,Petrol,Manual,Second,17,1497,118,5,3.5,honda,city,14.63571429,14
Bangalore,67000,Diesel,Manual,First,23,1396,90,5,5.5,hyundai,i20,9.74,9
Coimbatore,42750,Petrol,Manual,First,17,1497,118,5,6.33,honda,city,14.63571429,11
Delhi,77000,Diesel,Manual,Second,11.57,2179,138.1,7,3.5,tata,new,10.75306548,12
Delhi,85000,Diesel,Automatic,First,11.3,2987,254.8,7,38.75,mercedes-benz,gl-class,63.09554084,9
Pune,112500,Diesel,Automatic,First,11.5,2993,235,5,7.99,bmw,5,67.24571429,15
Kochi,105072,Diesel,Manual,First,14.24,2755,174.5,7,13.28,toyota,fortuner,36.69,10
Pune,80000,Petrol,Automatic,First,11.25,1995,150,5,9.5,bmw,x1,49.296,11
Coimbatore,14656,Diesel,Manual,First,24.4,1120,71,5,6.99,hyundai,xcent,8.274,7
Hyderabad,105000,Diesel,Automatic,Second,13.2,1995,170,5,11,bmw,3,52.113125,13
