Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Hyundai i10 Sportz AT,Hyundai,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197,78.9,5,,5.08
Hyundai Verna 1.6 SX,Hyundai,Bangalore,2012,67000,Diesel,Manual,First,22.32,1582,126.32,5,,6.25
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968,174.33,5,,22.75
Chevrolet Beat LS,Chevrolet,Kolkata,2010,17088,Petrol,Manual,First,18.6,1199,79.4,5,,1.46
Ford Fiesta 1.4 Duratorq ZXI,Ford,Pune,2007,112808,Diesel,Manual,Second,17.8,1399,68,5,,2.05
Ford Figo Diesel EXI,Ford,Coimbatore,2014,74980,Diesel,Manual,First,20,1399,68,5,,4.08
Maruti Celerio VXI AT,Maruti,Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998,67.04,5,,4.55
Mercedes-Benz A Class A180 CDI,Mercedes,Mumbai,2013,37000,Diesel,Automatic,First,20,2143,107.3,5,,14
Hyundai Creta 1.6 SX,Hyundai,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591,121.3,5,13.74,10.9
Maruti Wagon R VXI BS IV,Maruti,Bangalore,2010,81245,Petrol,Manual,First,18.9,998,67.1,5,,2.45
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mercedes,Delhi,2013,70000,Diesel,Automatic,First,10,2148,170,5,,15.8
Ford EcoSport 1.5 Ti VCT MT Titanium BE,Ford,Mumbai,2017,4018,Petrol,Manual,First,18.88,1499,110.4,5,,8.25
Renault Koleos 2.0 Diesel,Renault,Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995,148,5,,8.5
Mahindra XUV500 W10 2WD,Mahindra,Coimbatore,2016,56532,Diesel,Manual,First,16,2179,140,7,,15.54
Maruti Omni E 8 Str STD,Maruti,Hyderabad,2013,26875,Petrol,Manual,First,16.8,796,34.2,8,,2.35
Maruti Wagon R VXI,Maruti,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998,67.04,5,5.72,4.32
Ford Endeavour XLT TDCi 4X2,Ford,Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499,141,7,,3.9
Hyundai Verna 1.6 SX,Hyundai,Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582,126.32,5,,5.2
Hyundai i20 Magna 1.2,Hyundai,Mumbai,2018,19500,Petrol,Manual,First,18.6,1197,81.83,5,,5.85
Maruti Ertiga ZXI,Maruti,Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373,93.7,7,,6.25
Mahindra XUV500 W9 AT,Mahindra,Coimbatore,2019,19654,Diesel,Automatic,First,14,2179,155,7,21.33,17.63
Maruti SX4 S Cross DDiS 200 Zeta,Maruti,Mumbai,2017,26000,Diesel,Manual,First,23.65,1248,88.5,5,,9.75
Mercedes-Benz SLK-Class SLK 350,Mercedes,Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498,306,2,,55
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199,73.9,5,,4.1
Toyota Fortuner 4x4 MT,Toyota,Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982,168.5,7,,11.99
Mahindra XUV500 W10 2WD,Mahindra,Kochi,2017,43773,Diesel,Manual,First,16,2179,140,7,,13.54
Mercedes-Benz GLE 250d,Mercedes,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143,201.15,5,78.76,56
Honda Jazz 1.2 VX i VTEC,Honda,Chennai,2016,23280,Petrol,Manual,First,18.7,1199,88.7,5,,6.5
Maruti Swift Dzire VDI,Maruti,Pune,2013,88000,Diesel,Manual,First,23.4,1248,74,5,,4.75
Hyundai Verna 1.6 SX VTVT,Hyundai,Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591,121.3,5,,5.6
Ford Endeavour 3.2 Titanium AT 4X4,Ford,Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198,197,7,,29.2
Hyundai i20 1.2 Asta Option,Hyundai,Kolkata,2018,11000,Petrol,Manual,First,18.6,1197,81.83,5,,6.35
Honda City 1.5 V MT Sunroof,Honda,Mumbai,2013,60669,Petrol,Manual,First,16.8,1497,116.3,5,,4.95
Honda Amaze VX Diesel,Honda,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498,98.6,5,10.34,8.5
Hyundai Verna 1.6 SX VTVT (O),Hyundai,Kolkata,2013,35000,Petrol,Manual,First,17.1,1591,121.3,5,,4.5
Honda Mobilio S i DTEC,Honda,Chennai,2015,65000,Diesel,Manual,First,24.2,1498,98.6,7,,5.5
Maruti Ertiga ZDI,Maruti,Kochi,2013,39929,Diesel,Manual,First,20.77,1248,88.8,7,,6.56
Maruti Alto K10 LXI,Maruti,Pune,2014,49000,Petrol,Manual,First,24.07,998,67.1,5,4.29,2.3
Toyota Qualis FS B2,Toyota,Pune,2004,77757,Diesel,Manual,Second,13.1,2446,75,10,,3.5
Hyundai i10 Sportz,Hyundai,Kochi,2016,21456,Petrol,Manual,First,20.36,1197,78.9,5,,4.55
Skoda Laura 1.9 TDI AT Ambiente,Skoda,Bangalore,2009,74000,Diesel,Automatic,Second,17,1896,105,5,,7.75
Hyundai i20 Asta Option 1.2,Hyundai,Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197,81.83,5,,5.25
BMW 5 Series 2003-2012 530d Highline,BMW,Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993,235,5,,23.29
BMW 3 Series 320d M Sport,BMW,Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995,190,5,,23.99
Chevrolet Aveo 1.4 LT ABS BSIV,Chevrolet,Pune,2010,80000,Petrol,Manual,First,14.49,1399,92.7,5,,1.79
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mercedes,Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143,203,5,,13.9
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968,174.33,5,,18.95
Maruti Wagon R LXI BS IV,Maruti,Kolkata,2014,40000,Petrol,Manual,First,20.51,998,67.04,5,,2.49
Renault KWID RXT,Renault,Jaipur,2016,4152,Petrol,Manual,First,25.17,799,53.3,5,,3.15
Volkswagen Ameo 1.5 TDI Highline,Volkswagen,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498,108.62,5,10.04,6.45
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199,73.9,5,,4.25
Maruti Alto 800 LXI,Maruti,Hyderabad,2014,58500,Petrol,Manual,First,22.74,796,47.3,5,,2.75
Hyundai i20 Asta Option 1.2,Hyundai,Kochi,2017,58620,Petrol,Manual,First,18.6,1197,81.83,5,,7.14
Toyota Etios Liva G,Toyota,Mumbai,2012,29605,Petrol,Manual,First,18.3,1197,null,5,,2.44
Hyundai i20 1.2 Sportz,Hyundai,Jaipur,2012,71172,Petrol,Manual,Third,17,1197,80,5,,3.5
Hyundai i20 1.4 Asta,Hyundai,Chennai,2017,12000,Diesel,Manual,First,22.54,1396,88.73,5,,7.3
Maruti Wagon R LXI Optional,Maruti,Kolkata,2014,25000,Petrol,Manual,First,20.51,998,67.04,5,,2.75
Hyundai i20 1.4 Asta Option,Hyundai,Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396,88.73,5,,8.2
Volkswagen Polo GT TSI,Volkswagen,Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197,103.6,5,,6.51
Ford Figo Diesel Titanium,Ford,Pune,2015,92000,Diesel,Manual,First,20,1399,68.05,5,,4.25
Maruti Swift ZXI,Maruti,Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197,85.8,5,,6.21
Hyundai Grand i10 CRDi Magna,Hyundai,Kochi,2016,52625,Diesel,Manual,First,24,1120,70,5,,4.58
Mahindra Xylo H4,Mahindra,Chennai,2016,215000,Diesel,Manual,First,14.02,2179,118.3,7,11.67,7.5
Maruti Alto Green LXi (CNG),Maruti,Delhi,2012,65537,CNG,Manual,First,26.83,796,38.4,5,,2.1
Hyundai i10 Magna 1.1,Hyundai,Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086,68.05,5,,4.09
Skoda Octavia Elegance 2.0 TDI AT,Skoda,Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968,141,5,,10.75
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993,258,7,,41.5
Maruti Celerio VXI AT,Maruti,Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998,67.04,5,,4.4
Volkswagen Vento Diesel Comfortline,Volkswagen,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598,103.6,5,,6.25
BMW 3 Series 320d Highline,BMW,Pune,2011,99606,Diesel,Automatic,Second,16.07,1995,181,5,,10.5
Maruti Ertiga ZDI,Maruti,Mumbai,2014,64000,Diesel,Manual,First,20.77,1248,88.8,7,,7.25
Ford Figo Diesel ZXI,Ford,Hyderabad,2013,51000,Diesel,Manual,First,20,1399,68.05,5,,3.2
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Mumbai,2014,57000,Petrol,Manual,First,16.47,1198,74,5,,3.95
Audi A6 3.0 TDI quattro,Audi,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967,241.38,5,,12.07
Toyota Innova Crysta 2.4 ZX MT,Toyota,Pune,2017,43200,Diesel,Manual,First,13.68,2393,147.8,7,25.52,18.6
Hyundai Verna 1.6 CRDi EX AT,Hyundai,Delhi,2013,66000,Diesel,Automatic,First,22.32,1582,126.3,5,,5.7
Hyundai Santro Xing GL Plus,Hyundai,Kolkata,2013,31000,Petrol,Manual,First,17.92,1086,62.1,5,,1.75
Audi A4 2.0 TDI,Audi,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968,147.51,5,,10.99
Audi A4 2.0 TDI,Audi,Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968,147.51,5,,14.5
Skoda Laura 1.9 TDI MT Ambiente,Skoda,Jaipur,2009,100000,Diesel,Manual,First,17,1896,105,5,,3.11
Honda CR-V 2.0L 2WD AT,Honda,Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997,153.86,5,,13.96
Hyundai Verna 1.6 SX CRDi (O),Hyundai,Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582,126.32,5,,7.11
Honda Mobilio RS i DTEC,Honda,Chennai,2014,23000,Diesel,Manual,First,24.5,1498,98.6,7,,6.9
Hyundai i20 1.2 Asta Option,Hyundai,Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197,81.83,5,,7.77
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494,102,8,,5.5
Hyundai i20 Magna 1.2,Hyundai,Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197,81.83,5,,5.35
Mahindra Bolero VLX BS IV,Mahindra,Chennai,2011,99000,Diesel,Manual,Second,13.6,2523,63,7,,4.5
Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,Jaipur,2014,72000,Diesel,Manual,First,20.34,1498,103.2,5,,4.75
Jaguar XF 2.2 Litre Luxury,Jaguar,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179,187.7,5,,32.8
Maruti Zen LXi - BS III,Maruti,Mumbai,2005,102000,Petrol,Manual,First,17.3,993,60,5,,0.7
Mercedes-Benz E-Class Facelift,Mercedes,Coimbatore,2018,56652,Diesel,Automatic,First,13,2987,258,5,,50.29
Toyota Fortuner 3.0 Diesel,Toyota,Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982,171,7,,10.99
Hyundai Grand i10 AT Asta,Hyundai,Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197,82,5,,5.57
Hyundai Xcent 1.2 CRDi S,Hyundai,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186,73.97,5,8.56,5.9
Hyundai Creta 1.6 VTVT S,Hyundai,Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591,121.3,5,,9.43
Hyundai i10 Sportz,Hyundai,Bangalore,2010,69000,Petrol,Manual,First,20.36,1197,78.9,5,,2.9
Honda Brio S MT,Honda,Delhi,2016,32700,Petrol,Manual,First,19.4,1198,86.8,5,,3.68
Toyota Fortuner 4x2 AT,Toyota,Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982,168.5,7,,21.67
Audi A4 2.0 TDI Multitronic,Audi,Ahmedabad,2011,59000,Diesel,Automatic,First,16.55,1968,140,5,,12.5
Toyota Innova Crysta 2.8 ZX AT,Toyota,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.92
Honda City i DTEC VX,Honda,Jaipur,2014,71649,Diesel,Manual,First,25.1,1498,98.6,5,,6.75
Honda City i DTEC VX,Honda,Kochi,2015,80606,Diesel,Manual,First,25.1,1498,98.6,5,,6.96
Renault KWID 1.0 RXT Optional,Renault,Jaipur,2017,63262,Petrol,Manual,First,21.7,999,67,5,4.78,3.25
Maruti Swift DDiS ZDI Plus,Maruti,Hyderabad,2018,5456,Diesel,Manual,First,28.4,1248,74,5,,8.65
Maruti Celerio VXI Optional AMT,Maruti,Pune,2017,7500,Petrol,Automatic,First,23.1,998,67.04,5,6.14,5
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2011,66000,Diesel,Manual,First,15.1,2179,140,7,,5.5
Hyundai i10 Magna,Hyundai,Jaipur,2010,66770,Petrol,Manual,Second,20.36,1197,78.9,5,,2.6
Hyundai i10 Magna 1.1,Hyundai,Kochi,2014,58472,Petrol,Manual,First,19.81,1086,68.05,5,,3.41
Maruti Dzire VXI,Maruti,Kolkata,2011,46687,Petrol,Manual,First,22,1197,81.8,5,7.3,2.7
Maruti Grand Vitara AT,Maruti,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995,163.5,5,,5.5
Audi TT 40 TFSI,Audi,Kolkata,2012,7000,Petrol,Automatic,First,14.33,1984,226.6,4,,35
Mercedes-Benz New C-Class C 200 CGI,Mercedes,Mumbai,2011,48000,Petrol,Automatic,Second,14.74,1991,184,5,,9.75
Nissan Sunny 2011-2014 Diesel XV,Nissan,Mumbai,2013,47000,Diesel,Manual,First,21.64,1461,84.8,5,,4.25
Maruti Wagon R LXI,Maruti,Ahmedabad,2015,51530,Petrol,Manual,First,18.9,998,67.1,5,,3.2
Maruti Swift Dzire ZDI,Maruti,Bangalore,2014,25789,Diesel,Manual,Second,23.4,1248,74,5,,6.85
Honda Amaze S i-Dtech,Honda,Delhi,2015,48000,Diesel,Manual,First,25.8,1498,98.6,5,,4.5
Maruti Swift ZDI,Maruti,Delhi,2012,52000,Diesel,Manual,First,28.4,1248,74,5,,3.55
Hyundai Accent Executive CNG,Hyundai,Hyderabad,2010,95637,CNG,Manual,Second,13.2,1495,93.7,5,,1.9
Mahindra Scorpio LX 2.6 Turbo,Mahindra,Hyderabad,2008,131000,Diesel,Manual,First,10.5,2609,120,7,,3.6
Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes,Kochi,2015,42076,Diesel,Automatic,First,13,2143,201.1,5,,21.8
Toyota Fortuner 4x2 Manual,Toyota,Mumbai,2012,76000,Diesel,Manual,Second,13,2982,168.5,7,,13.5
Datsun redi-GO T Option,Datsun,Bangalore,2016,20487,Petrol,Manual,First,22.7,799,53.64,5,4.37,2.66
Honda City V MT,Honda,Delhi,2010,43000,Petrol,Manual,Second,16.8,1497,116.3,5,,3.75
Toyota Camry Hybrid,Toyota,Pune,2018,17000,Petrol,Automatic,First,19.16,2494,158.2,5,,32
Honda City i DTec V,Honda,Coimbatore,2016,60805,Diesel,Manual,First,26,1498,98.6,5,,8.07
Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Volkswagen,Kochi,2012,58775,Diesel,Manual,First,19.33,1968,138.1,5,,5.64
Audi A6 2011-2015 2.0 TDI,Audi,Hyderabad,2013,70181,Diesel,Automatic,First,17.68,1968,174.33,5,,23.99
Maruti Ertiga VDI,Maruti,Coimbatore,2016,85827,Diesel,Manual,First,20.77,1248,88.76,7,,7.5
Mercedes-Benz New C-Class C 220 CDI Style,Mercedes,Jaipur,2016,58205,Diesel,Automatic,First,19.27,2143,167.62,5,,27
Maruti Swift Dzire Vdi BSIV,Maruti,Mumbai,2008,91000,Diesel,Manual,Second,19.3,1248,73.9,5,,2.85
Renault Duster 110PS Diesel RxZ Pack,Renault,Pune,2012,74000,Diesel,Manual,First,19.01,1461,108.45,5,,6.35
Maruti Ritz VDi,Maruti,Hyderabad,2010,79324,Diesel,Manual,First,21.1,1248,73.9,5,,3.3
Maruti Swift Dzire VXI,Maruti,Bangalore,2013,38623,Petrol,Manual,First,19.1,1197,85.8,5,,5
Maruti Swift ZDi,Maruti,Coimbatore,2014,59923,Diesel,Manual,First,22.9,1248,74,5,,6.46
Hyundai EON Sportz,Hyundai,Jaipur,2017,23360,Petrol,Manual,First,21.1,814,55.2,5,,3.75
Maruti Zen VXI BSII,Maruti,Kochi,2003,61495,Petrol,Manual,Third,17.3,993,60,5,,1.52
Maruti Eeco 7 Seater Standard,Maruti,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196,73,7,4.98,3.61
Audi Q5 30 TDI quattro Premium,Audi,Coimbatore,2017,40318,Diesel,Automatic,First,14.16,1968,174.3,5,,43.74
Audi Q3 2.0 TDI,Audi,Chennai,2014,60000,Diesel,Automatic,First,15.73,1968,174.33,5,,20
Smart Fortwo CDI AT,Smart,Pune,2008,103000,Diesel,Automatic,Second,0,799,null,2,,3
Maruti Swift Dzire VDi,Maruti,Hyderabad,2010,130000,Diesel,Manual,First,19.3,1248,73.9,5,,3.65
Tata Sumo DX,Tata,Mumbai,2013,20000,Diesel,Manual,First,14.07,1978,83.1,10,,5.25
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,Hyderabad,2016,76000,Diesel,Automatic,First,15.97,2993,258,7,,58
Honda City i-VTEC CVT VX,Honda,Mumbai,2015,30000,Petrol,Automatic,First,18,1497,117.3,5,15.29,8.65
Tata Indigo eCS eLX BS IV,Tata,Delhi,2015,150000,Diesel,Manual,First,25,1396,69.01,5,,2.5
Volkswagen Vento TSI,Volkswagen,Chennai,2014,28000,Petrol,Automatic,First,16.93,1197,103.6,5,,7.75
Maruti Celerio VXI,Maruti,Bangalore,2015,74000,Petrol,Manual,First,23.1,998,67.04,5,,4.15
Toyota Fortuner 3.0 Diesel,Toyota,Delhi,2011,75000,Diesel,Manual,First,11.5,2982,171,7,,10.85
Mitsubishi Outlander 2.4,Mitsubishi,Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360,170,5,,5.53
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Volkswagen,Pune,2014,64889,Diesel,Automatic,First,15.5,1896,105,5,,11.5
Porsche Cayman 2009-2012 S,Porsche,Hyderabad,2010,10000,Petrol,Manual,First,9,3436,null,2,,40
Hyundai Creta 1.6 CRDi SX,Hyundai,Kolkata,2015,43000,Diesel,Manual,First,19.67,1582,126.2,5,,9.25
Skoda Fabia 1.2 MPI Ambiente Petrol,Skoda,Pune,2011,47490,Petrol,Manual,First,17.5,1198,75,5,,2.29
Ford EcoSport 1.5 TDCi Titanium,Ford,Chennai,2015,80000,Diesel,Manual,First,22.77,1498,98.59,5,,7
Maruti Zen Estilo 1.1 LXI BSIII,Maruti,Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061,64,5,,1.65
Maruti Ciaz 1.4 Delta,Maruti,Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373,91.1,5,,8.25
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Mercedes,Kochi,2011,71703,Petrol,Automatic,First,14.74,1991,181.03,5,,9.14
Honda Amaze SX i-VTEC,Honda,Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198,86.7,5,,6.5
Toyota Etios GD,Toyota,Kolkata,2012,60000,Diesel,Manual,First,23.59,1364,null,5,,2.95
Renault Duster 85PS Diesel RxL,Renault,Jaipur,2015,91000,Diesel,Manual,First,19.87,1461,83.8,5,,5.75
Maruti Wagon R LXI LPG BSIV,Maruti,Hyderabad,2012,72000,LPG,Manual,First,26.2,998,58.2,5,,2.85
Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198,73.9,5,,2.1
Hyundai Creta 1.6 SX Plus Diesel,Hyundai,Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582,126.2,5,,13.55
Jaguar XF Diesel,Jaguar,Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993,270.9,5,,20.5
Jeep Compass 2.0 Limited 4X4,Jeep,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956,170,5,24.26,20
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Land,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999,177,5,75.12,59.72
Maruti Baleno Alpha Diesel,Maruti,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248,74,5,9.53,6.5
Maruti Ciaz ZDi SHVS,Maruti,Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248,88.5,5,,7.5
Maruti SX4 Vxi BSIII,Maruti,Jaipur,2007,76000,Petrol,Manual,Second,15,1586,104.68,5,,2.15
Hyundai Elantra CRDi SX,Hyundai,Coimbatore,2015,53615,Diesel,Manual,First,22.7,1582,126.24,5,,8.44
Mitsubishi Pajero Sport 4X4,Mitsubishi,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7,34.6,12.49
Volkswagen Ameo 1.2 MPI Comfortline,Volkswagen,Pune,2017,14800,Petrol,Manual,First,17,1198,73.75,5,,5.48
Maruti Ritz VXi,Maruti,Hyderabad,2013,35433,Petrol,Manual,First,18.5,1197,85.8,5,,4.2
Hyundai Verna CRDi SX,Hyundai,Hyderabad,2013,82966,Diesel,Manual,First,16.8,1493,110,5,,7.2
Maruti Swift Dzire Tour LDI,Maruti,Jaipur,2014,96000,Diesel,Manual,First,23.4,1248,74,5,,4.8
Mahindra KUV 100 mFALCON D75 K6,Mahindra,Kochi,2017,39528,Diesel,Manual,First,25.32,1198,77,6,,5.83
Toyota Innova Crysta 2.4 ZX MT,Toyota,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393,147.8,7,26.45,18.39
Maruti Baleno Delta 1.2,Maruti,Pune,2016,14930,Petrol,Manual,First,21.4,1197,83.1,5,,5.85
Honda Jazz VX Diesel,Honda,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498,98.6,5,11.15,6.21
Hyundai i20 1.2 Asta,Hyundai,Delhi,2013,71000,Petrol,Manual,First,17,1197,80,5,,3.65
Hyundai i20 Sportz Diesel,Hyundai,Delhi,2012,71000,Diesel,Manual,First,23,1396,90,5,,3.7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mercedes,Pune,2015,50000,Diesel,Automatic,First,19.27,2143,167.62,5,,30
Hyundai Xcent 1.2 Kappa Base,Hyundai,Kochi,2016,48163,Petrol,Manual,First,19.1,1197,82,5,,4.85
Hyundai Grand i10 AT Asta,Hyundai,Coimbatore,2017,19168,Petrol,Automatic,First,18.9,1197,82,5,,6.93
Maruti Alto 800 VXI,Maruti,Kolkata,2016,26000,Petrol,Manual,First,22.74,796,47.3,5,,2.6
Chevrolet Sail Hatchback 1.2 LS,Chevrolet,Kolkata,2014,37400,Petrol,Manual,First,18.2,1199,82.5,5,,1.89
Mercedes-Benz C-Class Progressive C 220d,Mercedes,Mumbai,2018,8682,Diesel,Automatic,First,0,1950,194,5,52.26,39.5
Skoda Superb Elegance 1.8 TSI AT,Skoda,Mumbai,2012,95000,Petrol,Automatic,First,13.7,1798,157.75,5,,10
Audi A4 2.0 TDI,Audi,Kolkata,2009,34000,Diesel,Automatic,First,16.55,1968,147.51,5,,9.95
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Mumbai,2014,95000,Diesel,Manual,Second,12.8,2494,102,8,,9.45
Mercedes-Benz CLA 200 CDI Sport,Mercedes,Coimbatore,2017,13689,Diesel,Automatic,First,17.9,2143,136,5,,28.25
Hyundai i10 Era,Hyundai,Jaipur,2008,84000,Petrol,Manual,Second,19.81,1086,68.05,5,,1.8
Maruti Swift Dzire VXi,Maruti,Kolkata,2008,47000,Petrol,Manual,Second,17.5,1298,85.8,5,,1.4
Skoda Rapid 1.5 TDI AT Ambition,Skoda,Ahmedabad,2015,60001,Diesel,Automatic,First,21.66,1498,103.52,5,,7.25
Maruti Ritz VDi,Maruti,Hyderabad,2012,96000,Diesel,Manual,First,21.1,1248,73.9,5,,3.6
Hyundai Accent GLS 1.6,Hyundai,Jaipur,2004,47300,Petrol,Manual,Second,14.4,1599,94,5,,1.2
Honda Amaze SX i-VTEC,Honda,Coimbatore,2014,28246,Petrol,Manual,Second,17.8,1198,86.7,5,,4.94
Maruti Wagon R LXI,Maruti,Delhi,2007,65000,Petrol,Manual,Second,18.9,998,67.1,5,,1.25
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Chennai,2013,68000,Diesel,Manual,Second,22.07,1199,73.9,5,,4.8
Ford Endeavour 2.2 Trend AT 4X2,Ford,Kochi,2019,11209,Diesel,Automatic,First,12.62,2198,158,7,,31.15
Hyundai i20 1.2 Sportz,Hyundai,Pune,2011,41980,Petrol,Manual,Second,17,1197,80,5,,3.3
Chevrolet Beat Diesel PS,Chevrolet,Bangalore,2012,65000,Diesel,Manual,First,25.44,936,57.6,5,,2.4
Honda Civic 2010-2013 1.8 V MT,Honda,Kolkata,2010,38000,Petrol,Manual,First,14.8,1799,130.2,5,,2
Maruti Wagon R VXI BS IV,Maruti,Pune,2014,51000,Petrol,Manual,First,20.51,998,67.04,5,,3.1
Skoda Rapid 1.6 MPI Ambition Plus,Skoda,Kochi,2014,33855,Petrol,Manual,First,15,1598,103.6,5,,5.09
Maruti Baleno Vxi - BSIII,Maruti,Pune,2006,146000,Petrol,Manual,Second,15.4,1590,94,5,,1.05
Ford EcoSport 1.5 TDCi Titanium,Ford,Bangalore,2015,47037,Diesel,Manual,Second,22.77,1498,98.59,5,,7
Hyundai Accent GLE,Hyundai,Ahmedabad,2010,58000,Petrol,Manual,Second,13.2,1495,94,5,,2.5
BMW 5 Series 520d Luxury Line,BMW,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995,190,5,70.43,17.5
Maruti Alto K10 2010-2014 VXI,Maruti,Chennai,2011,91211,Petrol,Manual,First,20.92,998,67.1,5,,2.1
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Audi,Bangalore,2013,84000,Diesel,Automatic,First,15.73,1968,174.33,5,,17.75
Maruti Wagon R LXI DUO BSIII,Maruti,Mumbai,2008,64226,LPG,Manual,First,17.3,1061,57.5,5,,1.45
Toyota Corolla H4,Toyota,Bangalore,2005,67000,Petrol,Automatic,Second,11.3,1794,125,5,,2.45
Volvo XC60 D5,Volvo,Pune,2011,106976,Diesel,Automatic,First,13.5,2400,215,5,,13.8
Honda Jazz 1.5 VX i DTEC,Honda,Kolkata,2016,27210,Diesel,Manual,First,27.3,1498,98.6,5,,5.85
Maruti Ciaz 1.3 Alpha,Maruti,Delhi,2017,26322,Diesel,Manual,First,28.09,1248,88.5,5,,8.9
Maruti Swift VXI BSIV,Maruti,Mumbai,2016,9107,Petrol,Manual,First,20.4,1197,81.8,5,,5.15
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes,Kochi,2015,63983,Diesel,Automatic,First,19.27,2143,170,5,,16.56
