,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Variant,New_Price1
765,maruti baleno lxi,Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590,94,5,1.2,maruti,baleno,lxi,8.886666667
766,bmw 3 series 320d luxury line,Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995,184,5,35.55,bmw,3,series 320d luxury line,52.113125
768,mahindra scorpio 2.6 dx,Chennai,2005,50000,Diesel,Manual,First,12.7,2609,116.6,8,1.94,mahindra,scorpio,2.6 dx,15.5675283
769,tata indica v2 els,Hyderabad,2016,73000,Diesel,Manual,First,25,1396,69,5,2.2,tata,indica,v2 els,10.75306548
771,toyota innova 2.5 v diesel 8-seater,Chennai,2016,50000,Diesel,Manual,First,12.8,2494,102,8,15.65,toyota,innova,2.5 v diesel 8-seater,23.61366667
772,mercedes-benz new c-class c 220d avantgarde edition c,Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143,167.62,5,39.47,mercedes-benz,new,c-class c 220d avantgarde edition c,49.49
773,maruti ritz vxi,Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197,85.8,5,1.5,maruti,ritz,vxi,7.55626867
774,toyota innova 2.5 gx (diesel) 8 seater bs iv,Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494,102,8,8.85,toyota,innova,2.5 gx (diesel) 8 seater bs iv,23.61366667
775,toyota fortuner 4x4 mt,Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982,168.5,7,17.9,toyota,fortuner,4x4 mt,36.548
776,hyundai i10 sportz at,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197,78.9,5,5.08,hyundai,i10,sportz at,11.28145047
777,hyundai verna 1.6 sx,Bangalore,2012,67000,Diesel,Manual,First,22.32,1582,126.32,5,6.25,hyundai,verna,1.6 sx,14.254
778,audi q3 2012-2015 35 tdi quattro premium plus,Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968,174.33,5,22.75,audi,q3,2012-2015 35 tdi quattro premium plus,46.42
780,ford fiesta 1.4 duratorq zxi,Pune,2007,112808,Diesel,Manual,Second,17.8,1399,68,5,2.05,ford,fiesta,1.4 duratorq zxi,13.57205029
781,ford figo diesel exi,Coimbatore,2014,74980,Diesel,Manual,First,20,1399,68,5,4.08,ford,figo,diesel exi,7.65
782,maruti celerio vxi at,Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998,67.04,5,4.55,maruti,celerio,vxi at,5.891666667
783,mercedes-benz a class a180 cdi,Mumbai,2013,37000,Diesel,Automatic,First,20,2143,107.3,5,14,mercedes-benz,a,class a180 cdi,34.63
784,hyundai creta 1.6 sx,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591,121.3,5,10.9,hyundai,creta,1.6 sx,13.74
785,maruti wagon r vxi bs iv,Bangalore,2010,81245,Petrol,Manual,First,18.9,998,67.1,5,2.45,maruti,wagon,r vxi bs iv,5.39
786,mercedes-benz e-class 2009-2013 e 220 cdi avantgarde,Delhi,2013,70000,Diesel,Automatic,First,10,2148,170,5,15.8,mercedes-benz,e-class,2009-2013 e 220 cdi avantgarde,82.61833333
787,ford ecosport 1.5 ti vct mt titanium be,Mumbai,2017,4018,Petrol,Manual,First,18.88,1499,110.4,5,8.25,ford,ecosport,1.5 ti vct mt titanium be,12.10909091
788,renault koleos 2.0 diesel,Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995,148,5,8.5,renault,koleos,2.0 diesel,11.74394958
789,mahindra xuv500 w10 2wd,Coimbatore,2016,56532,Diesel,Manual,First,16,2179,140,7,15.54,mahindra,xuv500,w10 2wd,18.865
790,maruti omni e 8 str std,Hyderabad,2013,26875,Petrol,Manual,First,16.8,796,34.2,8,2.35,maruti,omni,e 8 str std,7.55626867
791,maruti wagon r vxi,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998,67.04,5,4.32,maruti,wagon,r vxi,5.72
792,ford endeavour xlt tdci 4x2,Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499,141,7,3.9,ford,endeavour,xlt tdci 4x2,35.29
793,hyundai verna 1.6 sx,Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582,126.32,5,5.2,hyundai,verna,1.6 sx,14.254
794,hyundai i20 magna 1.2,Mumbai,2018,19500,Petrol,Manual,First,18.6,1197,81.83,5,5.85,hyundai,i20,magna 1.2,9.74
795,maruti ertiga zxi,Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373,93.7,7,6.25,maruti,ertiga,zxi,11.61857143
796,mahindra xuv500 w9 at,Coimbatore,2019,19654,Diesel,Automatic,First,14,2179,155,7,17.63,mahindra,xuv500,w9 at,21.33
798,mercedes-benz slk-class slk 350,Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498,306,2,55,mercedes-benz,slk-class,slk 350,63.09554084
799,volkswagen polo diesel comfortline 1.2l,Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199,73.9,5,4.1,volkswagen,polo,diesel comfortline 1.2l,9.71375
800,toyota fortuner 4x4 mt,Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982,168.5,7,11.99,toyota,fortuner,4x4 mt,36.548
801,mahindra xuv500 w10 2wd,Kochi,2017,43773,Diesel,Manual,First,16,2179,140,7,13.54,mahindra,xuv500,w10 2wd,18.865
802,mercedes-benz gle 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143,201.15,5,56,mercedes-benz,gle,250d,78.76
803,honda jazz 1.2 vx i vtec,Chennai,2016,23280,Petrol,Manual,First,18.7,1199,88.7,5,6.5,honda,jazz,1.2 vx i vtec,9.431666667
804,maruti swift dzire vdi,Pune,2013,88000,Diesel,Manual,First,23.4,1248,74,5,4.75,maruti,swift,dzire vdi,7.56375
805,hyundai verna 1.6 sx vtvt,Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591,121.3,5,5.6,hyundai,verna,1.6 sx vtvt,14.254
806,ford endeavour 3.2 titanium at 4x4,Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198,197,7,29.2,ford,endeavour,3.2 titanium at 4x4,35.29
807,hyundai i20 1.2 asta option,Kolkata,2018,11000,Petrol,Manual,First,18.6,1197,81.83,5,6.35,hyundai,i20,1.2 asta option,9.74
808,honda city 1.5 v mt sunroof,Mumbai,2013,60669,Petrol,Manual,First,16.8,1497,116.3,5,4.95,honda,city,1.5 v mt sunroof,14.63571429
809,honda amaze vx diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498,98.6,5,8.5,honda,amaze,vx diesel,10.34
810,hyundai verna 1.6 sx vtvt (o),Kolkata,2013,35000,Petrol,Manual,First,17.1,1591,121.3,5,4.5,hyundai,verna,1.6 sx vtvt (o),14.254
811,honda mobilio s i dtec,Chennai,2015,65000,Diesel,Manual,First,24.2,1498,98.6,7,5.5,honda,mobilio,s i dtec,11.79582001
812,maruti ertiga zdi,Kochi,2013,39929,Diesel,Manual,First,20.77,1248,88.8,7,6.56,maruti,ertiga,zdi,11.61857143
813,maruti alto k10 lxi,Pune,2014,49000,Petrol,Manual,First,24.07,998,67.1,5,2.3,maruti,alto,k10 lxi,4.29
814,toyota qualis fs b2,Pune,2004,77757,Diesel,Manual,Second,13.1,2446,75,10,3.5,toyota,qualis,fs b2,24.25263701
815,hyundai i10 sportz,Kochi,2016,21456,Petrol,Manual,First,20.36,1197,78.9,5,4.55,hyundai,i10,sportz,11.28145047
816,skoda laura 1.9 tdi at ambiente,Bangalore,2009,74000,Diesel,Automatic,Second,17,1896,105,5,7.75,skoda,laura,1.9 tdi at ambiente,25.2041791
817,hyundai i20 asta option 1.2,Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197,81.83,5,5.25,hyundai,i20,asta option 1.2,9.74
818,bmw 5 series 2003-2012 530d highline,Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993,235,5,23.29,bmw,5,series 2003-2012 530d highline,67.24571429
819,bmw 3 series 320d m sport,Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995,190,5,23.99,bmw,3,series 320d m sport,52.113125
821,mercedes-benz e-class 2009-2013 e250 cdi elegance,Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143,203,5,13.9,mercedes-benz,e-class,2009-2013 e250 cdi elegance,82.61833333
822,audi a6 2011-2015 2.0 tdi premium plus,Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968,174.33,5,18.95,audi,a6,2011-2015 2.0 tdi premium plus,62.35666667
823,maruti wagon r lxi bs iv,Kolkata,2014,40000,Petrol,Manual,First,20.51,998,67.04,5,2.49,maruti,wagon,r lxi bs iv,5.39
824,renault kwid rxt,Jaipur,2016,4152,Petrol,Manual,First,25.17,799,53.3,5,3.15,renault,kwid,rxt,4.834285714
825,volkswagen ameo 1.5 tdi highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498,108.62,5,6.45,volkswagen,ameo,1.5 tdi highline,10.04
826,volkswagen polo diesel comfortline 1.2l,Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199,73.9,5,4.25,volkswagen,polo,diesel comfortline 1.2l,9.71375
827,maruti alto 800 lxi,Hyderabad,2014,58500,Petrol,Manual,First,22.74,796,47.3,5,2.75,maruti,alto,800 lxi,4.53
828,hyundai i20 asta option 1.2,Kochi,2017,58620,Petrol,Manual,First,18.6,1197,81.83,5,7.14,hyundai,i20,asta option 1.2,9.74
829,toyota etios liva g,Mumbai,2012,29605,Petrol,Manual,First,18.3,1197,130.0291489,5,2.44,toyota,etios,liva g,7.432
830,hyundai i20 1.2 sportz,Jaipur,2012,71172,Petrol,Manual,Third,17,1197,80,5,3.5,hyundai,i20,1.2 sportz,9.74
831,hyundai i20 1.4 asta,Chennai,2017,12000,Diesel,Manual,First,22.54,1396,88.73,5,7.3,hyundai,i20,1.4 asta,9.74
832,maruti wagon r lxi optional,Kolkata,2014,25000,Petrol,Manual,First,20.51,998,67.04,5,2.75,maruti,wagon,r lxi optional,5.39
833,hyundai i20 1.4 asta option,Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396,88.73,5,8.2,hyundai,i20,1.4 asta option,9.74
834,volkswagen polo gt tsi,Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197,103.6,5,6.51,volkswagen,polo,gt tsi,9.71375
835,ford figo diesel titanium,Pune,2015,92000,Diesel,Manual,First,20,1399,68.05,5,4.25,ford,figo,diesel titanium,7.65
836,maruti swift zxi,Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197,85.8,5,6.21,maruti,swift,zxi,7.56375
837,hyundai grand i10 crdi magna,Kochi,2016,52625,Diesel,Manual,First,24,1120,70,5,4.58,hyundai,grand,i10 crdi magna,7.2952
838,mahindra xylo h4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179,118.3,7,7.5,mahindra,xylo,h4,11.67
839,maruti alto green lxi (cng),Delhi,2012,65537,CNG,Manual,First,26.83,796,38.4,5,2.1,maruti,alto,green lxi (cng),4.53
840,hyundai i10 magna 1.1,Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086,68.05,5,4.09,hyundai,i10,magna 1.1,11.28145047
841,skoda octavia elegance 2.0 tdi at,Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968,141,5,10.75,skoda,octavia,elegance 2.0 tdi at,28.37
842,bmw x5 2014-2019 xdrive 30d design pure experience 7 seater,Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993,258,7,41.5,bmw,x5,2014-2019 xdrive 30d design pure experience 7 seater,63.44220807
843,maruti celerio vxi at,Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998,67.04,5,4.4,maruti,celerio,vxi at,5.891666667
844,volkswagen vento diesel comfortline,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598,103.6,5,6.25,volkswagen,vento,diesel comfortline,13.81375
845,bmw 3 series 320d highline,Pune,2011,99606,Diesel,Automatic,Second,16.07,1995,181,5,10.5,bmw,3,series 320d highline,52.113125
846,maruti ertiga zdi,Mumbai,2014,64000,Diesel,Manual,First,20.77,1248,88.8,7,7.25,maruti,ertiga,zdi,11.61857143
847,ford figo diesel zxi,Hyderabad,2013,51000,Diesel,Manual,First,20,1399,68.05,5,3.2,ford,figo,diesel zxi,7.65
848,volkswagen polo 1.2 mpi highline,Mumbai,2014,57000,Petrol,Manual,First,16.47,1198,74,5,3.95,volkswagen,polo,1.2 mpi highline,9.71375
849,audi a6 3.0 tdi quattro,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967,241.38,5,12.07,audi,a6,3.0 tdi quattro,62.35666667
850,toyota innova crysta 2.4 zx mt,Pune,2017,43200,Diesel,Manual,First,13.68,2393,147.8,7,18.6,toyota,innova,crysta 2.4 zx mt,25.52
851,hyundai verna 1.6 crdi ex at,Delhi,2013,66000,Diesel,Automatic,First,22.32,1582,126.3,5,5.7,hyundai,verna,1.6 crdi ex at,14.254
852,hyundai santro xing gl plus,Kolkata,2013,31000,Petrol,Manual,First,17.92,1086,62.1,5,1.75,hyundai,santro,xing gl plus,11.28145047
853,audi a4 2.0 tdi,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968,147.51,5,10.99,audi,a4,2.0 tdi,51.385
854,audi a4 2.0 tdi,Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968,147.51,5,14.5,audi,a4,2.0 tdi,51.385
855,skoda laura 1.9 tdi mt ambiente,Jaipur,2009,100000,Diesel,Manual,First,17,1896,105,5,3.11,skoda,laura,1.9 tdi mt ambiente,25.2041791
857,hyundai verna 1.6 sx crdi (o),Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582,126.32,5,7.11,hyundai,verna,1.6 sx crdi (o),14.254
858,honda mobilio rs i dtec,Chennai,2014,23000,Diesel,Manual,First,24.5,1498,98.6,7,6.9,honda,mobilio,rs i dtec,11.79582001
859,hyundai i20 1.2 asta option,Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197,81.83,5,7.77,hyundai,i20,1.2 asta option,9.74
860,toyota innova 2.5 g (diesel) 7 seater bs iv,Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494,102,8,5.5,toyota,innova,2.5 g (diesel) 7 seater bs iv,23.61366667
861,hyundai i20 magna 1.2,Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197,81.83,5,5.35,hyundai,i20,magna 1.2,9.74
862,mahindra bolero vlx bs iv,Chennai,2011,99000,Diesel,Manual,Second,13.6,2523,63,7,4.5,mahindra,bolero,vlx bs iv,10.982
863,volkswagen vento 1.5 tdi comfortline,Jaipur,2014,72000,Diesel,Manual,First,20.34,1498,103.2,5,4.75,volkswagen,vento,1.5 tdi comfortline,13.81375
864,jaguar xf 2.2 litre luxury,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179,187.7,5,32.8,jaguar,xf,2.2 litre luxury,72.64
865,maruti zen lxi - bs iii,Mumbai,2005,102000,Petrol,Manual,First,17.3,993,60,5,0.7,maruti,zen,lxi - bs iii,7.55626867
866,mercedes-benz e-class facelift,Coimbatore,2018,56652,Diesel,Automatic,First,13,2987,258,5,50.29,mercedes-benz,e-class,facelift,82.61833333
867,toyota fortuner 3.0 diesel,Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982,171,7,10.99,toyota,fortuner,3.0 diesel,36.548
868,hyundai grand i10 at asta,Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197,82,5,5.57,hyundai,grand,i10 at asta,7.2952
869,hyundai xcent 1.2 crdi s,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186,73.97,5,5.9,hyundai,xcent,1.2 crdi s,8.56
870,hyundai creta 1.6 vtvt s,Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591,121.3,5,9.43,hyundai,creta,1.6 vtvt s,15.19333333
871,hyundai i10 sportz,Bangalore,2010,69000,Petrol,Manual,First,20.36,1197,78.9,5,2.9,hyundai,i10,sportz,11.28145047
872,honda brio s mt,Delhi,2016,32700,Petrol,Manual,First,19.4,1198,86.8,5,3.68,honda,brio,s mt,6.8825
873,toyota fortuner 4x2 at,Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982,168.5,7,21.67,toyota,fortuner,4x2 at,36.548
874,audi a4 2.0 tdi multitronic,Ahmedabad,2011,59000,Diesel,Automatic,First,16.55,1968,140,5,12.5,audi,a4,2.0 tdi multitronic,51.385
875,toyota innova crysta 2.8 zx at,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755,171.5,7,19.92,toyota,innova,crysta 2.8 zx at,27
876,honda city i dtec vx,Jaipur,2014,71649,Diesel,Manual,First,25.1,1498,98.6,5,6.75,honda,city,i dtec vx,14.63571429
877,honda city i dtec vx,Kochi,2015,80606,Diesel,Manual,First,25.1,1498,98.6,5,6.96,honda,city,i dtec vx,14.63571429
878,renault kwid 1.0 rxt optional,Jaipur,2017,63262,Petrol,Manual,First,21.7,999,67,5,3.25,renault,kwid,1.0 rxt optional,4.78
880,maruti celerio vxi optional amt,Pune,2017,7500,Petrol,Automatic,First,23.1,998,67.04,5,5,maruti,celerio,vxi optional amt,6.14
881,mahindra xuv500 w8 2wd,Delhi,2011,66000,Diesel,Manual,First,15.1,2179,140,7,5.5,mahindra,xuv500,w8 2wd,18.865
882,hyundai i10 magna,Jaipur,2010,66770,Petrol,Manual,Second,20.36,1197,78.9,5,2.6,hyundai,i10,magna,11.28145047
883,hyundai i10 magna 1.1,Kochi,2014,58472,Petrol,Manual,First,19.81,1086,68.05,5,3.41,hyundai,i10,magna 1.1,11.28145047
884,maruti dzire vxi,Kolkata,2011,46687,Petrol,Manual,First,22,1197,81.8,5,2.7,maruti,dzire,vxi,7.3
885,maruti grand vitara at,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995,163.5,5,5.5,maruti,grand,vitara at,7.55626867
886,audi tt 40 tfsi,Kolkata,2012,7000,Petrol,Automatic,First,14.33,1984,226.6,4,35,audi,tt,40 tfsi,63.78077684
887,mercedes-benz new c-class c 200 cgi,Mumbai,2011,48000,Petrol,Automatic,Second,14.74,1991,184,5,9.75,mercedes-benz,new,c-class c 200 cgi,49.49
888,nissan sunny 2011-2014 diesel xv,Mumbai,2013,47000,Diesel,Manual,First,21.64,1461,84.8,5,4.25,nissan,sunny,2011-2014 diesel xv,11.33
889,maruti wagon r lxi,Ahmedabad,2015,51530,Petrol,Manual,First,18.9,998,67.1,5,3.2,maruti,wagon,r lxi,5.39
890,maruti swift dzire zdi,Bangalore,2014,25789,Diesel,Manual,Second,23.4,1248,74,5,6.85,maruti,swift,dzire zdi,7.56375
891,honda amaze s i-dtech,Delhi,2015,48000,Diesel,Manual,First,25.8,1498,98.6,5,4.5,honda,amaze,s i-dtech,8.662857143
892,maruti swift zdi,Delhi,2012,52000,Diesel,Manual,First,28.4,1248,74,5,3.55,maruti,swift,zdi,7.56375
893,hyundai accent executive cng,Hyderabad,2010,95637,CNG,Manual,Second,13.2,1495,93.7,5,1.9,hyundai,accent,executive cng,11.28145047
894,mahindra scorpio lx 2.6 turbo,Hyderabad,2008,131000,Diesel,Manual,First,10.5,2609,120,7,3.6,mahindra,scorpio,lx 2.6 turbo,15.5675283
895,mercedes-benz e-class e250 cdi avantgrade,Kochi,2015,42076,Diesel,Automatic,First,13,2143,201.1,5,21.8,mercedes-benz,e-class,e250 cdi avantgrade,82.61833333
896,toyota fortuner 4x2 manual,Mumbai,2012,76000,Diesel,Manual,Second,13,2982,168.5,7,13.5,toyota,fortuner,4x2 manual,36.548
897,datsun redi-go t option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799,53.64,5,2.66,datsun,redi-go,t option,4.37
898,honda city v mt,Delhi,2010,43000,Petrol,Manual,Second,16.8,1497,116.3,5,3.75,honda,city,v mt,14.63571429
900,honda city i dtec v,Coimbatore,2016,60805,Diesel,Manual,First,26,1498,98.6,5,8.07,honda,city,i dtec v,14.63571429
901,volkswagen jetta 2012-2014 2.0l tdi trendline,Kochi,2012,58775,Diesel,Manual,First,19.33,1968,138.1,5,5.64,volkswagen,jetta,2012-2014 2.0l tdi trendline,11.44720833
902,audi a6 2011-2015 2.0 tdi,Hyderabad,2013,70181,Diesel,Automatic,First,17.68,1968,174.33,5,23.99,audi,a6,2011-2015 2.0 tdi,62.35666667
903,maruti ertiga vdi,Coimbatore,2016,85827,Diesel,Manual,First,20.77,1248,88.76,7,7.5,maruti,ertiga,vdi,11.61857143
904,mercedes-benz new c-class c 220 cdi style,Jaipur,2016,58205,Diesel,Automatic,First,19.27,2143,167.62,5,27,mercedes-benz,new,c-class c 220 cdi style,49.49
905,maruti swift dzire vdi bsiv,Mumbai,2008,91000,Diesel,Manual,Second,19.3,1248,73.9,5,2.85,maruti,swift,dzire vdi bsiv,7.56375
906,renault duster 110ps diesel rxz pack,Pune,2012,74000,Diesel,Manual,First,19.01,1461,108.45,5,6.35,renault,duster,110ps diesel rxz pack,13.87
907,maruti ritz vdi,Hyderabad,2010,79324,Diesel,Manual,First,21.1,1248,73.9,5,3.3,maruti,ritz,vdi,7.55626867
908,maruti swift dzire vxi,Bangalore,2013,38623,Petrol,Manual,First,19.1,1197,85.8,5,5,maruti,swift,dzire vxi,7.56375
909,maruti swift zdi,Coimbatore,2014,59923,Diesel,Manual,First,22.9,1248,74,5,6.46,maruti,swift,zdi,7.56375
910,hyundai eon sportz,Jaipur,2017,23360,Petrol,Manual,First,21.1,814,55.2,5,3.75,hyundai,eon,sportz,11.28145047
911,maruti zen vxi bsii,Kochi,2003,61495,Petrol,Manual,Third,17.3,993,60,5,1.52,maruti,zen,vxi bsii,7.55626867
912,maruti eeco 7 seater standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196,73,7,3.61,maruti,eeco,7 seater standard,4.98
913,audi q5 30 tdi quattro premium,Coimbatore,2017,40318,Diesel,Automatic,First,14.16,1968,174.3,5,43.74,audi,q5,30 tdi quattro premium,63.78077684
914,audi q3 2.0 tdi,Chennai,2014,60000,Diesel,Automatic,First,15.73,1968,174.33,5,20,audi,q3,2.0 tdi,46.42
916,maruti swift dzire vdi,Hyderabad,2010,130000,Diesel,Manual,First,19.3,1248,73.9,5,3.65,maruti,swift,dzire vdi,7.56375
917,tata sumo dx,Mumbai,2013,20000,Diesel,Manual,First,14.07,1978,83.1,10,5.25,tata,sumo,dx,10.75306548
918,bmw x5 2014-2019 xdrive 30d design pure experience 7 seater,Hyderabad,2016,76000,Diesel,Automatic,First,15.97,2993,258,7,58,bmw,x5,2014-2019 xdrive 30d design pure experience 7 seater,63.44220807
919,honda city i-vtec cvt vx,Mumbai,2015,30000,Petrol,Automatic,First,18,1497,117.3,5,8.65,honda,city,i-vtec cvt vx,15.29
920,tata indigo ecs elx bs iv,Delhi,2015,150000,Diesel,Manual,First,25,1396,69.01,5,2.5,tata,indigo,ecs elx bs iv,10.75306548
921,volkswagen vento tsi,Chennai,2014,28000,Petrol,Automatic,First,16.93,1197,103.6,5,7.75,volkswagen,vento,tsi,13.81375
922,maruti celerio vxi,Bangalore,2015,74000,Petrol,Manual,First,23.1,998,67.04,5,4.15,maruti,celerio,vxi,5.891666667
923,toyota fortuner 3.0 diesel,Delhi,2011,75000,Diesel,Manual,First,11.5,2982,171,7,10.85,toyota,fortuner,3.0 diesel,36.548
924,mitsubishi outlander 2.4,Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360,170,5,5.53,mitsubishi,outlander,2.4,33.4025
926,porsche cayman 2009-2012 s,Hyderabad,2010,10000,Petrol,Manual,First,9,3436,343.93,2,40,porsche,cayman,2009-2012 s,136
927,hyundai creta 1.6 crdi sx,Kolkata,2015,43000,Diesel,Manual,First,19.67,1582,126.2,5,9.25,hyundai,creta,1.6 crdi sx,15.19333333
928,skoda fabia 1.2 mpi ambiente petrol,Pune,2011,47490,Petrol,Manual,First,17.5,1198,75,5,2.29,skoda,fabia,1.2 mpi ambiente petrol,25.2041791
929,ford ecosport 1.5 tdci titanium,Chennai,2015,80000,Diesel,Manual,First,22.77,1498,98.59,5,7,ford,ecosport,1.5 tdci titanium,12.10909091
930,maruti zen estilo 1.1 lxi bsiii,Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061,64,5,1.65,maruti,zen,estilo 1.1 lxi bsiii,7.55626867
931,maruti ciaz 1.4 delta,Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373,91.1,5,8.25,maruti,ciaz,1.4 delta,11.04333333
932,mercedes-benz new c-class c 200 avantgarde edition c,Kochi,2011,71703,Petrol,Automatic,First,14.74,1991,181.03,5,9.14,mercedes-benz,new,c-class c 200 avantgarde edition c,49.49
933,honda amaze sx i-vtec,Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198,86.7,5,6.5,honda,amaze,sx i-vtec,8.662857143
934,toyota etios gd,Kolkata,2012,60000,Diesel,Manual,First,23.59,1364,130.0291489,5,2.95,toyota,etios,gd,7.432
935,renault duster 85ps diesel rxl,Jaipur,2015,91000,Diesel,Manual,First,19.87,1461,83.8,5,5.75,renault,duster,85ps diesel rxl,13.87
936,maruti wagon r lxi lpg bsiv,Hyderabad,2012,72000,LPG,Manual,First,26.2,998,58.2,5,2.85,maruti,wagon,r lxi lpg bsiv,5.39
937,volkswagen polo petrol highline 1.2l,Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198,73.9,5,2.1,volkswagen,polo,petrol highline 1.2l,9.71375
938,hyundai creta 1.6 sx plus diesel,Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582,126.2,5,13.55,hyundai,creta,1.6 sx plus diesel,15.19333333
939,jaguar xf diesel,Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993,270.9,5,20.5,jaguar,xf,diesel,72.64
940,jeep compass 2.0 limited 4x4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956,170,5,20,jeep,compass,2.0 limited 4x4,24.26
941,land rover range rover evoque 2.0 td4 hse dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999,177,5,59.72,land,rover,range rover evoque 2.0 td4 hse dynamic,75.12
942,maruti baleno alpha diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248,74,5,6.5,maruti,baleno,alpha diesel,9.53
943,maruti ciaz zdi shvs,Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248,88.5,5,7.5,maruti,ciaz,zdi shvs,11.04333333
944,maruti sx4 vxi bsiii,Jaipur,2007,76000,Petrol,Manual,Second,15,1586,104.68,5,2.15,maruti,sx4,vxi bsiii,7.55626867
945,hyundai elantra crdi sx,Coimbatore,2015,53615,Diesel,Manual,First,22.7,1582,126.24,5,8.44,hyundai,elantra,crdi sx,22.65
946,mitsubishi pajero sport 4x4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7,12.49,mitsubishi,pajero,sport 4x4,34.6
947,volkswagen ameo 1.2 mpi comfortline,Pune,2017,14800,Petrol,Manual,First,17,1198,73.75,5,5.48,volkswagen,ameo,1.2 mpi comfortline,9.262
948,maruti ritz vxi,Hyderabad,2013,35433,Petrol,Manual,First,18.5,1197,85.8,5,4.2,maruti,ritz,vxi,7.55626867
949,hyundai verna crdi sx,Hyderabad,2013,82966,Diesel,Manual,First,16.8,1493,110,5,7.2,hyundai,verna,crdi sx,14.254
950,maruti swift dzire tour ldi,Jaipur,2014,96000,Diesel,Manual,First,23.4,1248,74,5,4.8,maruti,swift,dzire tour ldi,7.56375
951,mahindra kuv 100 mfalcon d75 k6,Kochi,2017,39528,Diesel,Manual,First,25.32,1198,77,6,5.83,mahindra,kuv,100 mfalcon d75 k6,7.35
952,toyota innova crysta 2.4 zx mt,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393,147.8,7,18.39,toyota,innova,crysta 2.4 zx mt,26.45
